City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,borogontsy,62.1893,131.2945,221.84,100,97,1.46,RU,1674319014
1,attawapiskat,58.9123,-79.4694,260.35,93,100,8.73,CA,1674319019
2,guozhen,34.2154,107.0324,264.82,90,99,0.11,CN,1674319021
3,bethel,58.9091,-158.0097,256.2,79,4,5.38,US,1674319025
4,ganzhou,26.2092,114.2825,284.04,78,44,0.91,CN,1674319028
5,bengkulu,-12.9934,96.9617,298.53,71,100,4.19,CC,1674319029
6,priiskovyy,54.6188,88.5778,236.76,94,35,1.19,RU,1674319030
7,madang,-4.8799,146.3791,300.99,74,100,3.41,PG,1674319031
8,siniscola,40.5241,10.346,282.37,63,93,10.77,IT,1674319034
9,gardan diwal,34.8149,67.7937,260.5,98,100,1.18,AF,1674319034
10,vilyuysk,60.8465,122.2189,226.0,100,97,1.02,RU,1674319036
11,chattanooga,34.9859,-85.6396,279.91,66,96,1.42,US,1674319039
12,higuey,18.5332,-68.0834,300.2,71,0,4.66,DO,1674319041
13,santa lucia,-15.5592,-70.4714,284.51,35,59,7.7,PE,1674319047
14,port-cartier,50.905,-68.0202,263.55,70,1,0.32,CA,1674319049
15,dong hoi,18.6773,107.3836,293.09,79,100,0.33,CN,1674319051
16,chato,-2.6767,31.7422,293.76,69,100,0.38,TZ,1674319055
17,ardistan,33.1094,53.263,278.81,54,4,1.77,IR,1674319056
18,hvide sande,55.6317,6.4016,277.36,72,8,4.11,DK,1674319061
19,kargil,35.9941,76.1039,239.4,100,97,0.93,PK,1674319062
20,paamiut,60.9959,-48.8508,262.86,57,31,6.04,GL,1674319064
21,lavrentiya,66.0425,-169.3931,240.59,93,41,1.48,US,1674319064
22,thompson,62.5452,-88.9178,257.18,95,100,5.99,CA,1674319069
23,ayagoz,47.885,79.2157,252.89,91,7,3.75,KZ,1674319070
24,ponca city,36.7038,-96.7713,277.1,82,100,5.72,US,1674319071
25,kirillov,60.1483,38.6761,270.44,97,100,1.93,RU,1674319075
26,kangalassy,62.9012,130.3008,223.12,100,93,1.34,RU,1674319075
27,faya,18.5848,18.8526,295.82,15,0,4.88,TD,1674319076
28,hakodate,41.6992,140.9002,266.31,81,90,5.1,JP,1674319077
29,aswan,23.2927,32.6271,292.63,28,1,4.29,EG,1674319078
30,wasilla,63.8066,-150.0599,259.02,96,100,2.57,US,1674319079
31,beaver dam,43.5304,-88.9335,270.2,89,100,2.89,US,1674319082
32,gornopravdinsk,60.6372,68.7052,267.21,87,100,4.61,RU,1674319085
33,zavetnoye,47.0429,44.2137,270.75,65,78,9.35,RU,1674319088
34,hami,43.6414,93.546,248.76,98,94,1.88,CN,1674319089
35,kapoeta,4.9383,33.5574,306.24,16,91,4.73,SS,1674319090
36,iqaluit,59.6581,-64.4145,259.69,88,100,5.54,CA,1674319092
37,tabuk,28.2537,38.1184,290.67,40,7,3.29,SA,1674319093
38,kamloops,50.8526,-120.5017,266.62,91,40,5.66,CA,1674319094
39,chimoio,-19.2204,33.4192,300.41,65,40,0.6,MZ,1674319098
40,el tigre,7.9032,-64.582,304.24,46,43,4.93,VE,1674319098
41,salihorsk,52.7821,27.7042,273.99,80,100,3.47,BY,1674319100
42,bogorodskoye,58.1017,50.4301,264.04,89,100,4.57,RU,1674319101
43,warri,5.0389,4.3599,301.62,75,34,6.81,NG,1674319102
44,kota kinabalu,6.4165,115.9282,300.25,79,98,7.38,MY,1674319102
45,west wendover,40.6792,-114.4123,262.44,83,28,2.69,US,1674319105
46,clyde river,69.4274,-82.5342,234.9,100,43,1.37,CA,1674319106
47,sao gabriel da cachoeira,0.1923,-68.7191,303.97,54,70,0.35,BR,1674319106
48,tonota,-21.4988,27.2394,302.33,28,19,4.75,BW,1674319108
49,uruzgan,32.2971,67.4513,266.26,81,4,4.15,AF,1674319109
50,barcelos,-0.3096,-63.4942,300.63,81,57,1.07,BR,1674319109
51,trapani,38.5272,12.1076,285.35,49,48,11.17,IT,1674319110
52,dawlatabad,36.2689,63.367,269.56,89,89,1.34,AF,1674319111
53,tolaga bay,-38.4358,178.7983,291.89,74,100,4.04,NZ,1674319111
54,batagay-alyta,67.4294,130.8554,234.6,96,82,2.37,RU,1674319115
55,uyuni,-20.6551,-67.4033,293.57,18,11,4.13,BO,1674319116
56,awjilah,28.2629,20.9415,286.37,30,0,1.9,LY,1674319116
57,ostrovnoy,68.494,40.3826,274.17,76,55,10.04,RU,1674319118
58,holme,59.6096,5.093,275.29,78,97,8.8,NO,1674319121
59,dauriya,48.5034,115.4457,241.28,94,100,1.87,MN,1674319122
60,mukhen,47.8281,136.3556,239.53,98,34,0.98,RU,1674319124
61,alpena,45.2645,-83.6258,271.03,81,99,3.44,US,1674319124
62,los algarrobos,7.5477,-81.5111,301.4,59,5,1.49,PA,1674319125
63,mackenzie,56.1186,-122.3193,269.25,94,83,2.57,CA,1674319126
64,rostovka,54.9347,71.9003,258.13,92,88,2.92,RU,1674319129
65,guantanamo,19.3369,-75.002,299.05,72,24,5.49,CU,1674319131
66,kudahuvadhoo,2.972,71.7231,299.89,69,86,8.05,MV,1674319134
67,sistranda,64.8903,8.3843,279.13,73,100,18.32,NO,1674319135
68,thunder bay,47.404,-89.0801,269.82,83,100,9.86,US,1674319137
69,mount isa,-19.0143,137.39,302.33,60,99,1.44,AU,1674319139
70,ketchikan,56.5462,-130.8155,272.47,97,100,3.02,CA,1674319139
71,oktyabrskiy,52.5046,154.2449,265.06,68,100,10.71,RU,1674319141
72,baruun-urt,45.7491,115.2277,247.81,100,99,2.56,MN,1674319142
73,prince rupert,55.0268,-130.6209,275.07,98,100,1.28,CA,1674319143
74,oyem,1.9874,12.6585,300.39,39,100,1.09,GA,1674319144
75,port augusta,-30.1356,136.3211,293.45,49,0,6.58,AU,1674319145
76,bosobolo,4.4325,19.7254,301.55,21,100,0.61,CD,1674319145
77,tsienyane,-21.0822,24.5807,302.29,31,37,4.67,BW,1674319146
78,darhan,44.8449,110.1319,255.04,80,73,3.42,MN,1674319147
79,sikasso,11.5574,-6.2874,308.87,9,0,1.18,ML,1674319147
80,nouadhibou,20.3605,-17.7306,291.61,70,8,8.2,MR,1674319148
81,ambositra,-20.7954,47.3675,288.57,99,100,2.57,MG,1674319150
82,erzin,48.688,95.7286,244.48,86,91,2.74,MN,1674319151
83,amahai,-2.7363,128.9235,300.65,78,100,6.97,ID,1674319152
84,irbeyskoye,55.6697,95.9162,231.53,100,43,0.74,RU,1674319154
85,manica,-18.9555,32.8136,295.12,78,100,1.52,ZW,1674319154
86,provideniya,51.1665,-174.319,275.22,92,100,19.79,US,1674319155
87,zalantun,48.1364,122.9541,243.2,97,60,2.36,CN,1674319156
88,bulgan,49.1221,103.1978,249.7,99,100,1.71,MN,1674319156
89,adrar,26.1418,0.5131,291.32,11,1,3.07,DZ,1674319157
90,gorin,51.4508,136.9172,245.82,99,100,1.81,RU,1674319162
91,mildura,-34.2869,141.1257,293.04,53,15,3.11,AU,1674319163
92,maniwaki,46.5312,-75.9122,265.2,85,98,1.75,CA,1674319163
93,tagbac,13.4373,119.8184,299.69,79,60,10.91,PH,1674319164
94,makat,48.098,53.204,269.77,66,0,4.15,KZ,1674319167
95,sioni,42.6473,44.4023,266.11,60,96,1.08,GE,1674319168
96,suntar,62.3424,118.435,223.71,100,91,1.37,RU,1674319170
97,laje,-10.7039,-41.1759,301.46,41,79,2.53,BR,1674319172
98,ilebo,-3.0912,20.5544,297.42,75,96,1.21,CD,1674319174
99,skalistyy,71.1199,33.092,276.13,64,71,9.78,NO,1674319174
100,wahpeton,46.2083,-97.1546,262.53,88,56,2.75,US,1674319176
101,dwarka,21.294,67.9464,293.69,50,2,5.97,IN,1674319178
102,sharjah,25.385,56.8331,294.11,39,6,2.92,AE,1674319178
103,kunming,25.8715,102.8526,278.51,42,1,2.1,CN,1674319180
104,sioux lookout,52.4798,-92.8834,263.36,94,99,2.51,CA,1674319180
105,rungata,-2.3504,176.4933,299.84,76,24,8.73,KI,1674319182
106,tambacounda,13.8288,-13.0487,307.42,12,77,2.93,SN,1674319183
107,shebunino,46.4524,141.5764,262.85,77,100,10.24,RU,1674319184
108,sainte-suzanne,-20.7755,55.6988,300.25,81,100,3.56,RE,1674319185
109,marang,5.4301,104.1598,299.34,85,94,8.69,MY,1674319188
110,balykshi,47.4568,50.5476,269.98,56,0,4.81,KZ,1674319189
111,ostersund,62.67,15.408,257.32,95,77,1.52,SE,1674319190
112,mergui,11.7234,98.1226,300.73,64,16,4.89,MM,1674319190
113,mujiayingzi,43.548,116.8635,251.05,99,99,2.06,CN,1674319191
114,le mars,42.8734,-96.3034,267.47,100,100,2.06,US,1674319193
115,matay,28.4016,30.8732,288.17,36,0,3.47,EG,1674319193
116,gasa,28.1224,89.8902,259.48,64,10,1.88,BT,1674319194
117,tidore,-0.428,127.7291,299.68,83,100,4.63,ID,1674319194
118,nguru,13.2614,10.6435,300.38,12,2,3.3,NG,1674319196
119,aflu,35.1863,1.8554,279.06,78,74,9.19,DZ,1674319197
120,majene,-4.4957,118.042,301.13,75,93,4.43,ID,1674319199
121,luba,2.6293,6.6962,301.38,70,62,2.61,ST,1674319201
122,tiznit,27.7844,-9.9123,292.39,15,0,2.81,MA,1674319202
123,juneau,60.0565,-129.7689,261.68,91,74,2.55,CA,1674319203
124,atyrau,47.8018,52.1671,269.53,71,0,4.74,KZ,1674319206
125,mbuguni,-3.8061,36.8096,299.21,39,99,7.15,TZ,1674319206
126,turki,52.1719,43.4294,266.31,84,100,5.27,RU,1674319207
127,sofiysk,51.5187,134.3472,235.67,98,99,0.5,RU,1674319208
128,lebyazhye,55.1528,66.1807,262.77,81,75,4.18,RU,1674319210
129,dana point,32.9223,-118.1431,284.46,55,0,2.56,US,1674319211
130,topolobampo,25.0775,-109.1453,291.28,61,0,11.03,MX,1674319213
131,ystad,55.1176,13.7859,276.64,77,89,11.88,SE,1674319213
132,cowra,-33.9118,148.6444,291.1,64,100,3.13,AU,1674319215
133,brownwood,31.3686,-99.0078,288.23,54,59,5.71,US,1674319216
134,guzelyurt,35.0067,33.1397,286.91,84,1,1.13,CY,1674319216
135,tanout,14.7066,9.0025,299.39,10,16,3.81,NE,1674319218
136,san-pedro,4.121,-6.2505,301.23,72,100,5.54,CI,1674319219
137,seoul,34.3867,125.2438,277.99,50,100,3.04,KR,1674319220
138,rabat,35.2243,-7.7604,289.49,72,87,5.79,MA,1674319220
139,sibolga,0.7084,99.2415,294.8,98,100,1.12,ID,1674319221
140,norman wells,65.2444,-124.7902,260.52,95,100,2.35,CA,1674319222
141,keflavik,62.8509,-24.1838,277.97,68,100,13.73,IS,1674319222
142,yershichi,53.4492,32.8356,271.99,66,40,4.21,RU,1674319225
143,miedzyrzec podlaski,52.1927,22.7428,274.5,100,100,4.63,PL,1674319226
144,areka,6.552,37.304,296.51,25,100,1.12,ET,1674319229
145,willowmore,-32.9395,23.2244,303.57,40,2,10.58,ZA,1674319235
146,sarab,38.3569,47.489,271.29,92,100,1.39,IR,1674319236
147,copacabana,-15.9583,-69.1404,284.45,56,18,3.09,BO,1674319237
148,yatou,37.1908,122.6241,276.77,69,100,5.29,CN,1674319238
149,gzhatsk,55.2045,34.8735,271.22,75,100,4.24,RU,1674319239
150,pokhara,32.994,85.6971,259.88,21,0,6.31,CN,1674319239
151,diebougou,10.7726,-3.8039,308.16,9,39,1.61,BF,1674319241
152,svetlogorsk,67.2049,89.3066,239.23,79,100,2.32,RU,1674319241
153,piossasco,45.044,7.4428,278.18,31,0,2.57,IT,1674319242
154,rorvik,65.7065,10.3086,279.11,68,100,15.08,NO,1674319243
155,petit goave,18.3763,-72.7758,298.97,47,4,1.01,HT,1674319243
156,slobidka,47.7792,29.2194,279.34,62,21,3.26,UA,1674319244
157,adre,14.7185,22.7342,297.22,16,12,4.65,TD,1674319245
158,lisala,2.0533,21.9816,301.94,30,99,1.17,CD,1674319245
159,kortkeros,61.0001,51.6502,270.75,96,100,3.35,RU,1674319247
160,broken hill,-31.5036,143.5645,294.37,71,1,2.98,AU,1674319249
161,shkotovo-26,41.5452,132.252,266.6,65,23,2.2,RU,1674319253
162,yanam,16.6204,82.8177,298.08,73,32,3.66,IN,1674319253
163,cao bang,22.9486,107.2325,285.71,86,21,2.74,CN,1674319254
164,elko,38.9142,-116.3727,268.87,50,3,2.16,US,1674319255
165,espera feliz,-20.5783,-41.8218,294.7,80,96,3.69,BR,1674319257
166,nanganga,-10.3006,38.9741,295.51,91,100,1.39,TZ,1674319257
167,toyoshina,36.1666,137.6515,263.59,62,1,0.81,JP,1674319258
168,mecca,23.1232,40.6134,295.9,46,70,4.35,SA,1674319259
169,mae hong son,18.9339,97.6019,288.98,51,0,0.47,MM,1674319260
170,pawai,24.2177,80.3178,290.84,56,13,1.87,IN,1674319261
